"task_id","user_id"
"33372","1"
"20","3"
"128","3"
"182","3"
"195","3"
"205","3"
"220","3"
"282","3"
"328","3"
"330","3"
"331","3"
"332","3"
"334","3"
"335","3"
"336","3"
"337","3"
"339","3"
"340","3"
"341","3"
"342","3"
"345","3"
"347","3"
"348","3"
"350","3"
"352","3"
"353","3"
"387","3"
"388","3"
"389","3"
"412","3"
"23706","3"
"52408","3"
"52951","3"
"52984","3"
"52986","3"
"52994","3"
"53122","3"
"53135","3"
"53142","3"
"53143","3"
"54378","3"
"57092","3"
"57396","3"
"57508","3"
"57509","3"
"57510","3"
"57512","3"
"57514","3"
"57517","3"
"57519","3"
"57523","3"
"57524","3"
"57528","3"
"57534","3"
"57537","3"
"57542","3"
"58873","3"
"58875","3"
"58882","3"
"58929","3"
"58933","3"
"58946","3"
"59513","3"
"60514","3"
"62136","3"
"63444","3"
"9","4"
"87","4"
"100","4"
"122","4"
"210","4"
"256","4"
"283","4"
"371","4"
"374","4"
"377","4"
"384","4"
"395","4"
"397","4"
"410","4"
"421","4"
"428","4"
"429","4"
"661","4"
"662","4"
"663","4"
"664","4"
"665","4"
"666","4"
"667","4"
"668","4"
"669","4"
"670","4"
"671","4"
"672","4"
"673","4"
"674","4"
"675","4"
"676","4"
"677","4"
"678","4"
"679","4"
"680","4"
"9227","4"
"9228","4"
"9229","4"
"33371","4"
"52122","4"
"146","7"
"291","7"
"364","7"
"366","7"
"367","7"
"368","7"
"385","7"
"519","7"
"8620","7"
"8621","7"
"8738","7"
"8750","7"
"8751","7"
"9142","7"
"9143","7"
"9146","7"
"9148","7"
"9151","7"
"9154","7"
"9157","7"
"9235","7"
"10479","7"
"10480","7"
"12797","7"
"20702","7"
"20703","7"
"21682","7"
"22242","7"
"23626","7"
"39412","7"
"39604","7"
"44229","7"
"44465","7"
"44466","7"
"44467","7"
"44468","7"
"44469","7"
"45658","7"
"47024","7"
"47025","7"
"47026","7"
"47027","7"
"47525","7"
"47526","7"
"47527","7"
"47528","7"
"49368","7"
"49369","7"
"49370","7"
"49377","7"
"49382","7"
"49403","7"
"51776","7"
"52078","7"
"52297","7"
"52403","7"
"52405","7"
"52406","7"
"52407","7"
"52408","7"
"54137","7"
"54556","7"
"56556","7"
"57384","7"
"57385","7"
"57810","7"
"59403","7"
"59944","7"
"62564","7"
"62565","7"
"63444","7"
"65266","7"
"65810","7"
"65811","7"
"67057","7"
"67096","7"
"67828","7"
"67829","7"
"68441","7"
"70977","7"
"71383","7"
"227","8"
"9145","8"
"9148","8"
"9152","8"
"9153","8"
"9155","8"
"9234","8"
"15013","8"
"15014","8"
"15015","8"
"45647","8"
"47028","8"
"47525","8"
"48821","8"
"49368","8"
"50422","8"
"51776","8"
"51777","8"
"52400","8"
"52401","8"
"52402","8"
"54137","8"
"54138","8"
"54139","8"
"54556","8"
"54614","8"
"54615","8"
"70964","8"
"70978","8"
"71400","8"
"11","9"
"365","9"
"414","9"
"415","9"
"416","9"
"417","9"
"423","9"
"540","9"
"8753","9"
"8938","9"
"9141","9"
"9147","9"
"9149","9"
"9320","9"
"9326","9"
"292","10"
"293","10"
"294","10"
"295","10"
"296","10"
"297","10"
"298","10"
"299","10"
"300","10"
"301","10"
"302","10"
"303","10"
"304","10"
"305","10"
"306","10"
"307","10"
"308","10"
"309","10"
"310","10"
"311","10"
"312","10"
"313","10"
"314","10"
"315","10"
"316","10"
"317","10"
"318","10"
"319","10"
"320","10"
"321","10"
"322","10"
"323","10"
"324","10"
"325","10"
"326","10"
"327","10"
"329","10"
"354","10"
"355","10"
"359","10"
"439","10"
"940","10"
"941","10"
"942","10"
"943","10"
"944","10"
"945","10"
"946","10"
"947","10"
"948","10"
"949","10"
"950","10"
"951","10"
"952","10"
"953","10"
"954","10"
"955","10"
"956","10"
"957","10"
"958","10"
"1224","10"
"1225","10"
"1226","10"
"1227","10"
"1228","10"
"1229","10"
"1230","10"
"1231","10"
"1232","10"
"1233","10"
"1234","10"
"1235","10"
"1236","10"
"1237","10"
"1238","10"
"1239","10"
"1240","10"
"1241","10"
"1242","10"
"1379","10"
"1380","10"
"1381","10"
"1382","10"
"1383","10"
"1384","10"
"1504","10"
"1505","10"
"1506","10"
"1507","10"
"1508","10"
"1509","10"
"1510","10"
"1511","10"
"1512","10"
"1513","10"
"1514","10"
"1515","10"
"1516","10"
"1517","10"
"1518","10"
"1519","10"
"1520","10"
"1635","10"
"1636","10"
"1637","10"
"1638","10"
"1639","10"
"1640","10"
"1641","10"
"1642","10"
"1643","10"
"1644","10"
"1645","10"
"1646","10"
"1647","10"
"1648","10"
"1649","10"
"1650","10"
"1651","10"
"1851","10"
"1852","10"
"1853","10"
"1854","10"
"1855","10"
"1856","10"
"1857","10"
"1858","10"
"1859","10"
"1860","10"
"1861","10"
"1862","10"
"1863","10"
"1864","10"
"1865","10"
"1866","10"
"1867","10"
"1868","10"
"1869","10"
"1870","10"
"1871","10"
"1994","10"
"1995","10"
"1996","10"
"1997","10"
"1998","10"
"1999","10"
"2000","10"
"2001","10"
"2002","10"
"2003","10"
"2004","10"
"2005","10"
"2006","10"
"2007","10"
"2008","10"
"2009","10"
"2010","10"
"2011","10"
"2012","10"
"2013","10"
"2014","10"
"2015","10"
"2339","10"
"2340","10"
"2655","10"
"2656","10"
"2811","10"
"2812","10"
"2813","10"
"2814","10"
"2815","10"
"2816","10"
"2928","10"
"2929","10"
"2930","10"
"2931","10"
"3070","10"
"3071","10"
"3072","10"
"3073","10"
"3304","10"
"3305","10"
"3306","10"
"3429","10"
"3430","10"
"3739","10"
"3740","10"
"3741","10"
"3742","10"
"3743","10"
"3910","10"
"3911","10"
"3912","10"
"3913","10"
"3914","10"
"3997","10"
"3998","10"
"3999","10"
"4000","10"
"4001","10"
"4002","10"
"4003","10"
"4004","10"
"4005","10"
"4006","10"
"4085","10"
"4086","10"
"4087","10"
"4088","10"
"4089","10"
"4159","10"
"4160","10"
"4161","10"
"4162","10"
"4163","10"
"4294","10"
"4295","10"
"4296","10"
"4297","10"
"4298","10"
"4385","10"
"4386","10"
"4387","10"
"4388","10"
"4389","10"
"5738","10"
"5739","10"
"5740","10"
"5741","10"
"5742","10"
"5743","10"
"5744","10"
"5745","10"
"5746","10"
"5747","10"
"5748","10"
"5749","10"
"5750","10"
"5751","10"
"5752","10"
"5753","10"
"5754","10"
"5755","10"
"7592","10"
"7593","10"
"7594","10"
"7595","10"
"7596","10"
"7597","10"
"7598","10"
"7599","10"
"9022","10"
"9023","10"
"18420","10"
"18421","10"
"18422","10"
"18423","10"
"18424","10"
"18425","10"
"18426","10"
"18427","10"
"18428","10"
"18429","10"
"18430","10"
"18431","10"
"18432","10"
"18433","10"
"18434","10"
"18435","10"
"18436","10"
"18437","10"
"18438","10"
"18439","10"
"18440","10"
"18441","10"
"18442","10"
"18443","10"
"18444","10"
"18445","10"
"18446","10"
"18447","10"
"18448","10"
"19153","10"
"19154","10"
"19155","10"
"19156","10"
"19157","10"
"19158","10"
"22281","10"
"22282","10"
"22283","10"
"22284","10"
"22285","10"
"22286","10"
"22287","10"
"22288","10"
"22289","10"
"22290","10"
"22291","10"
"22292","10"
"22293","10"
"22294","10"
"22295","10"
"22296","10"
"22297","10"
"22298","10"
"22299","10"
"22300","10"
"22301","10"
"22302","10"
"22303","10"
"22304","10"
"22305","10"
"22306","10"
"22307","10"
"22308","10"
"22309","10"
"22661","10"
"24431","10"
"24432","10"
"24433","10"
"24434","10"
"24435","10"
"24436","10"
"24437","10"
"24438","10"
"24439","10"
"25445","10"
"25446","10"
"25447","10"
"25448","10"
"25449","10"
"25450","10"
"25451","10"
"25452","10"
"25453","10"
"25454","10"
"25455","10"
"25456","10"
"25457","10"
"25458","10"
"25459","10"
"25460","10"
"25461","10"
"25462","10"
"25463","10"
"25464","10"
"25465","10"
"25466","10"
"25467","10"
"25468","10"
"25469","10"
"25470","10"
"25471","10"
"25472","10"
"25473","10"
"27086","10"
"27087","10"
"27088","10"
"27089","10"
"27090","10"
"27091","10"
"27092","10"
"27093","10"
"27094","10"
"27095","10"
"27096","10"
"27097","10"
"27098","10"
"27099","10"
"27100","10"
"27101","10"
"27102","10"
"27103","10"
"27104","10"
"27105","10"
"27106","10"
"27107","10"
"27108","10"
"27109","10"
"27110","10"
"27111","10"
"27112","10"
"27113","10"
"27114","10"
"29377","10"
"29378","10"
"29379","10"
"29380","10"
"29381","10"
"29382","10"
"29383","10"
"29384","10"
"29385","10"
"29386","10"
"29387","10"
"29388","10"
"29389","10"
"29390","10"
"29391","10"
"29392","10"
"29393","10"
"29394","10"
"29395","10"
"29396","10"
"29397","10"
"31345","10"
"31346","10"
"31347","10"
"31348","10"
"31349","10"
"31350","10"
"31351","10"
"31352","10"
"31353","10"
"31354","10"
"31355","10"
"31356","10"
"31357","10"
"31358","10"
"31359","10"
"31360","10"
"31361","10"
"31362","10"
"31363","10"
"31364","10"
"31365","10"
"31366","10"
"31367","10"
"31368","10"
"31369","10"
"31370","10"
"31371","10"
"31372","10"
"31373","10"
"31374","10"
"31375","10"
"31376","10"
"31377","10"
"31378","10"
"31379","10"
"34797","10"
"34798","10"
"34799","10"
"34800","10"
"34801","10"
"34802","10"
"34803","10"
"34804","10"
"34805","10"
"34806","10"
"34807","10"
"34808","10"
"34809","10"
"34810","10"
"34811","10"
"34812","10"
"34813","10"
"34814","10"
"34815","10"
"34816","10"
"34817","10"
"34818","10"
"34819","10"
"34820","10"
"34821","10"
"34822","10"
"34823","10"
"34824","10"
"34825","10"
"34826","10"
"38237","10"
"38238","10"
"38239","10"
"38240","10"
"38241","10"
"38242","10"
"38243","10"
"38244","10"
"38245","10"
"38246","10"
"38247","10"
"38248","10"
"38249","10"
"38250","10"
"38251","10"
"38252","10"
"38253","10"
"38254","10"
"38255","10"
"38256","10"
"38257","10"
"38258","10"
"38259","10"
"38260","10"
"38261","10"
"38262","10"
"38263","10"
"38264","10"
"38265","10"
"38664","10"
"39353","10"
"39354","10"
"39355","10"
"39356","10"
"39357","10"
"39358","10"
"39359","10"
"39360","10"
"39361","10"
"39362","10"
"39363","10"
"39364","10"
"39365","10"
"39366","10"
"39367","10"
"39368","10"
"39369","10"
"39370","10"
"39371","10"
"39372","10"
"39373","10"
"39374","10"
"39375","10"
"39376","10"
"39377","10"
"39378","10"
"39379","10"
"39380","10"
"39381","10"
"39593","10"
"39594","10"
"41329","10"
"41330","10"
"41331","10"
"41332","10"
"41333","10"
"41334","10"
"41335","10"
"41336","10"
"41337","10"
"41338","10"
"41339","10"
"41340","10"
"41341","10"
"41342","10"
"41343","10"
"41344","10"
"41345","10"
"41346","10"
"41347","10"
"41348","10"
"41349","10"
"41350","10"
"41351","10"
"41352","10"
"41353","10"
"41354","10"
"41355","10"
"41356","10"
"41357","10"
"41963","10"
"41964","10"
"41965","10"
"43887","10"
"43888","10"
"43889","10"
"43890","10"
"43891","10"
"43892","10"
"43893","10"
"43894","10"
"43895","10"
"43896","10"
"43897","10"
"43898","10"
"43899","10"
"43900","10"
"43901","10"
"43902","10"
"43903","10"
